# SPECULATIVE QUANTUM-GRAVITY TOY MODELS — NOT ESTABLISHED PHYSICS
# SPECULATIVE MODEL — NOT experimentally established.
# model: Hayward (2006) regular black hole
r_geo,log10_r_over_rs,f,log10_K_SI,log10_K_schwarzschild_SI,tau_since_horizon_years,u_r
0.7612697682286979,-0.4194914123597703,-1.6271895765065603,-82.28512370638057,-82.28512370638057,np.float64(159240.1238410485),-1.620860751732412
0.7461956168463137,-0.42817730199783355,-1.6802623264563068,-82.23300836855219,-82.23300836855222,np.float64(160684.5103803677),-1.6371506731074899
0.7314199536600755,-0.4368631916358969,-1.7344072170739442,-82.18089303072381,-82.18089303072381,np.float64(162086.20884616757),-1.6536043109141751
0.7169368682076973,-0.4455490812739602,-1.7896459070376585,-82.12877769289543,-82.12877769289545,np.float64(163446.48086168486),-1.6702233105299598
0.7027405670618878,-0.4542349709120235,-1.8460004925599627,-82.07666235506704,-82.07666235506704,np.float64(164766.55076355464),-1.687009333868655
0.6888253715129019,-0.4629208605500869,-1.9034935162264697,-82.02454701723866,-82.02454701723863,np.float64(166047.60670379602),-1.7039640595465826
0.675185715296982,-0.4716067501881502,-1.96214797601323,-81.97243167941028,-81.97243167941028,np.float64(167290.80171922903),-1.7210891830504398
0.661816142369777,-0.48029263982621345,-2.021987334486227,-81.9203163415819,-81.92031634158187,np.float64(168497.25476928582),-1.7383864169068473
0.6487113047238527,-0.4889785294642768,-2.0830355281867208,-81.86820100375354,-81.86820100375351,np.float64(169668.05174314935),-1.755857490853606
0.6358659602494172,-0.4976644191023401,-2.1453169772061766,-81.81608566592516,-81.81608566592516,np.float64(170804.24643712735),-1.773504152012669
0.6232749706374073,-0.5063503087404033,-2.208856594954634,-81.76397032809678,-81.76397032809675,np.float64(171906.86150313984),-1.7913281650648587
0.6109332993240959,-0.5150361983784667,-2.273679798126397,-81.71185499026839,-81.71185499026839,np.float64(172976.88936917493),-1.809331312426333
0.5988360094764,-0.52372208801653,-2.339812516867056,-81.65973965244001,-81.65973965243998,np.float64(174015.29313254112),-1.8275153944268312
0.5869782620170811,-0.5324079776545934,-2.4072812051458894,-81.60762431461163,-81.60762431461163,np.float64(175023.00742671988),-1.8458822294897064
0.5753553136890502,-0.5410938672926566,-2.476112851337802,-81.55550897678324,-81.55550897678327,np.float64(176000.9392625986),-1.864433654313771
0.5639625151580013,-0.5497797569307199,-2.5463349890190385,-81.50339363895486,-81.50339363895486,np.float64(176949.96884484202),-1.8831715240569666
0.552795309152616,-0.5584656465687833,-2.617975707980979,-81.45127830112648,-81.45127830112651,np.float64(177870.95036413555),-1.9020977125218828
0.541849228641594,-0.5671515362068466,-2.6910636654664306,-81.3991629632981,-81.3991629632981,np.float64(178764.71276601465),-1.9212141123431377
0.5311198950467813,-0.5758374258449098,-2.765628097632906,-81.34704762546974,-81.34704762546974,np.float64(179632.06049697188),-1.9405226351766438
0.5206030164916802,-0.5845233154829732,-2.8416988312474785,-81.29493228764136,-81.29493228764133,np.float64(180473.77422851272),-1.9600252118907753
0.5102943860846418,-0.5932092051210365,-2.919306295617884,-81.24281694981298,-81.24281694981292,np.float64(181290.61155981297),-1.9797237927594558
0.500189880236053,-0.6018950947590997,-2.9984815347646507,-81.1907016119846,-81.19070161198457,np.float64(182083.30769960902),-1.9996203476571874
0.490285457008846,-0.610580984397163,-3.0792562198391185,-81.13858627415621,-81.13858627415621,np.float64(182852.57612793526),-2.01971686625604
0.480577154501669,-0.6192668740352264,-3.161662661792331,-81.08647093632783,-81.08647093632786,np.float64(183599.1092383043),-2.0400153582246214
0.47106108926407336,-0.6279527636732897,-3.245733824299835,-81.03435559849945,-81.03435559849945,np.float64(184323.57896090802),-2.060517853429044
0.4617334547430816,-0.6366386533113529,-3.3315033369475957,-80.98224026067106,-80.98224026067103,np.float64(185026.63736739996),-2.0812264021359126
0.4525905197605151,-0.6453245429494163,-3.419005508684285,-80.93012492284268,-80.93012492284268,np.float64(185708.91725780375),-2.1021430752173567
0.44362862702047345,-0.6540104325874797,-3.508275341545305,-80.87800958501433,-80.87800958501433,np.float64(186371.03273007617),-2.1232699643581134
0.43484419164636723,-0.6626963222255429,-3.5993485446540827,-80.82589424718594,-80.82589424718597,np.float64(187013.57973283622),-2.144609182264704
0.42623369974691927,-0.6713822118636062,-3.6922615485061847,-80.77377890935756,-80.77377890935756,np.float64(187637.1366017597),-2.1661628628767007
0.41779370701056184,-0.6800681015016695,-3.787051519542012,-80.72166357152918,-80.72166357152915,np.float64(188242.26458011998),-2.1879331615801276
0.4095208373276656,-0.6887539911397328,-3.883756375013858,-80.6695482337008,-80.6695482337008,np.float64(188829.508323945),-2.2099222554229954
0.40141178144005096,-0.6974398807777962,-3.9824147981533295,-80.61743289587241,-80.61743289587238,np.float64(189399.39639224423),-2.2321323433330136
0.39346329561724075,-0.7061257704158594,-4.083066253645145,-80.56531755804403,-80.56531755804403,np.float64(189952.44172274787),-2.2545656463374812
0.3856722003589245,-0.7148116600539228,-4.185751003413538,-80.51320222021565,-80.51320222021562,np.float64(190489.142093585),-2.277224407785394
0.37803537912311647,-0.7234975496919861,-4.2905101227275635,-80.46108688238726,-80.46108688238726,np.float64(191009.9805713177),-2.300110893571778
0.3705497770794965,-0.7321834393300494,-4.397385516631755,-80.40897154455888,-80.40897154455891,np.float64(191515.42594573362),-2.3232273923642848
0.36321239988743786,-0.7408693289681126,-4.506419936708699,-80.35685620673053,-80.3568562067305,np.float64(192005.93315178825),-2.3465762158320578
0.35602031249823063,-0.749555218606176,-4.6176569981802364,-80.30474086890214,-80.30474086890214,np.float64(192481.94367907738),-2.3701596988769
0.3489706379810235,-0.7582411082442393,-4.731141197354137,-80.25262553107376,-80.25262553107373,np.float64(192943.88596920716),-2.3939801998667694
0.3420605563720126,-0.7669269978823027,-4.846917929423212,-80.20051019324538,-80.20051019324538,np.float64(193392.1758014208),-2.4180401008716155
0.33528730354641867,-0.775612887520366,-4.9650335066240014,-80.148394855417,-80.14839485541702,np.float64(193827.2166668277),-2.4423418079015886
0.32864817011280023,-0.7842987771584292,-5.0855351767622805,-80.09627951758861,-80.09627951758861,np.float64(194249.40013157297),-2.466887751147644
0.3221405003292609,-0.7929846667964926,-5.208471142112814,-80.04416417976023,-80.04416417976026,np.float64(194659.10618927304),-2.4916803852245604
0.3157616910411172,-0.8016705564345559,-5.3338905787009105,-79.99204884193185,-79.99204884193185,np.float64(195056.7036030358),-2.5167221894164067
0.30950919063960186,-0.8103564460726191,-5.461843655973487,-79.93993350410346,-79.93993350410344,np.float64(195442.5502373723),-2.5420156679244696
0.30338049804118655,-0.8190423357106825,-5.592381556867517,-79.88781816627508,-79.88781816627508,np.float64(195816.99338029895),-2.5675633501176787
0.2973731616871149,-0.8277282253487458,-5.7255564982838845,-79.83570282844673,-79.83570282844667,np.float64(196180.37005591995),-2.593367790785542
0.2914847785627464,-0.8364141149868092,-5.861421751974847,-79.78358749061834,-79.78358749061832,np.float64(196533.0073277721),-2.6194315703936315
0.28571299323631855,-0.8451000046248723,-6.0000316658534425,-79.73147215278996,-79.73147215278996,np.float64(196875.22259320368),-2.6457572953416273
0.28005549691674253,-0.8537858942629356,-6.141441685733376,-79.67935681496158,-79.67935681496155,np.float64(197207.32386905391),-2.6723475982239617
0.2745100265300562,-0.862471783900999,-6.285708377508095,-79.6272414771332,-79.6272414771332,np.float64(197529.61006888852),-2.699205138093082
0.2690743638141644,-0.8711576735390623,-6.43288944977789,-79.57512613930481,-79.57512613930479,np.float64(197842.37127204234),-2.726332600725357
0.26374633443150414,-0.8798435631771256,-6.583043776934108,-79.52301080147643,-79.52301080147643,np.float64(198145.88898471024),-2.7537326988896558
0.2585238070992812,-0.8885294528151889,-6.736231422709699,-79.47089546364805,-79.47089546364808,np.float64(198440.4363933217),-2.7814081726186286
0.25340469273692795,-0.8972153424532523,-6.8925136642055005,-79.41878012581967,-79.41878012581967,np.float64(198726.2786104269),-2.809361789482711
0.24838694363044375,-0.9059012320913156,-7.0519530164018995,-79.36666478799128,-79.36666478799131,np.float64(199003.6729133163),-2.837596344866884
0.24346855261328176,-0.9145871217293788,-7.214613257165663,-79.31454945016293,-79.3145494501629,np.float64(199272.8689755871),-2.8661146622502147
0.23864755226345566,-0.9232730113674422,-7.380559452761931,-79.26243411233455,-79.26243411233455,np.float64(199534.10909186665),-2.8949195934882077
0.23392201411654473,-0.9319589010055055,-7.549857983881584,-79.21031877450616,-79.21031877450613,np.float64(199787.62839589384),-2.9240140190979904
0.22929004789428215,-0.9406447906435688,-7.722576572194411,-79.15820343667778,-79.15820343667772,np.float64(200033.65507215535),-2.953400848546369
0.2247498007484186,-0.9493306802816321,-7.898784307438692,-79.1060880988494,-79.10608809884937,np.float64(200272.41056126714),-2.983083020540778
0.2202994565195584,-0.9580165699196954,-8.07855167505798,-79.05397276102102,-79.05397276102102,np.float64(200504.10975928584),-3.013063503323151
0.21593723501067125,-0.9667024595577587,-8.261950584396262,-79.00185742319263,-79.00185742319266,np.float64(200728.96121112988),-3.043345294966751
0.21166139127498984,-0.975388349195822,-8.449054397462625,-78.94974208536425,-78.94974208536425,np.float64(200947.16729828378),-3.073931423675978
0.2074702149180079,-0.9840742388338853,-8.63993795827704,-78.89762674753587,-78.89762674753584,np.float64(201158.92442095545),-3.1048249480891896
0.2033620294132995,-0.9927601284719487,-8.83467762280899,-78.84551140970748,-78.84551140970748,np.float64(201364.4231748492),-3.136028957584574
0.19933519143188635,-1.001446018110012,-9.033351289520837,-78.79339607187913,-78.79339607187913,np.float64(201563.84852271518),-3.1675465725890817
0.19538809018488387,-1.0101319077480753,-9.236038430528298,-78.74128073405075,-78.74128073405078,np.float64(201757.3799608281),-3.1993809448904797
0.1915191467791646,-1.0188177973861385,-9.442820123390298,-78.68916539622236,-78.68916539622236,np.float64(201945.19168054598),-3.231535257952526
0.1877268135857796,-1.0275036870242018,-9.65377908354111,-78.63705005839398,-78.63705005839395,np.float64(202127.45272509428),-3.264012727233322
0.18400957362088646,-1.0361895766622653,-9.86899969737762,-78.5849347205656,-78.5849347205656,np.float64(202304.32714171606),-3.2968166005068618
0.18036593993893535,-1.0448754663003286,-10.088568056015006,-78.53281938273722,-78.53281938273719,np.float64(202475.97412932568),-3.329950158187808
0.17679445503787103,-1.0535613559383918,-10.312571989724345,-78.48070404490883,-78.48070404490883,np.float64(202642.54818179848),-3.3634167136595408
0.1732936902761127,-1.0622472455764551,-10.541101103065873,-78.42858870708045,-78.42858870708042,np.float64(202804.1992270258),-3.3972196136054955
0.1698622453010781,-1.0709331352145184,-10.774246810732025,-78.37647336925207,-78.37647336925207,np.float64(202961.0727618601),-3.4313622383438367
0.16649874748902405,-1.0796190248525817,-11.012102374114521,-78.32435803142369,-78.32435803142371,np.float64(203113.309983072),-3.4658480021654903
0.16320185139597848,-1.088304914490645,-11.254762938610163,-78.27224269359533,-78.2722426935953,np.float64(203261.04791443693),-3.5006803536755773
0.15997023821954495,-1.0969908041287084,-11.502325571680261,-78.22012735576695,-78.22012735576695,np.float64(203404.4195300657),-3.535862776138274
0.15680261527136422,-1.1056766937667717,-11.754889301678926,-78.16801201793857,-78.16801201793854,np.float64(203543.5538740903),-3.5713987878251463
0.15369771546002137,-1.114362583404835,-12.01255515746572,-78.11589668011018,-78.11589668011018,np.float64(203678.57617681214),-3.6072919423669774
0.1506542967841927,-1.1230484730428982,-12.275426208818548,-78.0637813422818,-78.06378134228183,np.float64(203809.60796741807),-3.6435458291091316
0.14767114183582847,-1.1317343626809615,-12.543607607662945,-78.01166600445342,-78.01166600445342,np.float64(203936.7671833644),-3.680164073470495
0.1447470573131733,-1.140420252319025,-12.817206630134244,-77.95955066662503,-77.95955066662506,np.float64(204060.16827652906),-3.717150337306018
0.14188087354342993,-1.1491061419570883,-13.096332719489473,-77.90743532879665,-77.90743532879665,np.float64(204179.92231622568),-3.7545083192729076
0.1390714440148741,-1.1577920315951515,-13.381097529886107,-77.85531999096827,-77.85531999096824,np.float64(204296.1370891737),-3.7922417552004917
0.13631764491823484,-1.1664779212332148,-13.671614971045218,-77.80320465313989,-77.80320465313989,np.float64(204408.91719651344),-3.8303544184638083
0.13361837469715565,-1.175163810871278,-13.968001253816883,-77.75108931531153,-77.75108931531148,np.float64(204518.36414795442),-3.868850120360943
0.1309725536075574,-1.1838497005093414,-14.270374936666084,-77.69897397748315,-77.69897397748312,np.float64(204624.57645314082),-3.9077327104941664
0.12837912328572618,-1.1925355901474048,-14.578856973097666,-77.64685863965477,-77.64685863965477,np.float64(204727.64971031685),-3.947006077154894
0.12583704632495368,-1.2012214797854681,-14.89357076003934,-77.59474330182638,-77.59474330182636,np.float64(204827.6766923716),-3.986674147712519
0.12334530586056079,-1.2099073694235314,-15.214642187202138,-77.542627963998,-77.542627963998,np.float64(204924.74743034097),-4.026740889007155
0.12090290516313812,-1.2185932590615947,-15.542199687437922,-77.49051262616962,-77.49051262616959,np.float64(205018.94929444167),-4.067210307746321
0.11850886723984091,-1.227279148699658,-15.876374288114278,-77.43839728834124,-77.43839728834124,np.float64(205110.3670727101),-4.108086450905613
0.11616223444357891,-1.2359650383377214,-16.217299663527207,-77.38628195051285,-77.38628195051288,np.float64(205199.0830473176),-4.149373406133414
0.11386206808994478,-1.2446509279757847,-16.565112188372602,-77.33416661268447,-77.33416661268447,np.float64(205285.17706862986),-4.19107530215965
0.11160744808172778,-1.253336817613848,-16.919950992297956,-77.28205127485612,-77.28205127485612,np.float64(205368.72662707756),-4.233196309208676
0.10939747254086256,-1.2620227072519112,-17.281958015556096,-77.22993593702773,-77.2299359370277,np.float64(205449.80692290314),-4.2757406394162984
0.10723125744766611,-1.2707085968899745,-17.65127806578314,-77.17782059919935,-77.17782059919935,np.float64(205528.4909338458),-4.318712547250991
0.10510793628721785,-1.2793944865280378,-18.028058875923524,-77.12570526137097,-77.12570526137094,np.float64(205604.8494808268),-4.362116329939347
0.10302665970274232,-1.288080376166101,-18.41245116332511,-77.07358992354258,-77.07358992354253,np.float64(205678.9512916928),-4.405956327895807
0.10098659515585495,-1.2967662658041645,-18.80460869002815,-77.0214745857142,-77.02147458571417,np.float64(205750.86306307558),-4.450236925156699
0.09898692659353583,-1.3054521554422278,-19.204688324272173,-76.96935924788582,-76.96935924788582,np.float64(205820.6495204235),-4.494962549818649
0.09702685412169738,-1.314138045080291,-19.612850103245336,-76.91724391005744,-76.91724391005746,np.float64(205888.37347625903),-4.540137674481396
0.09510559368521623,-1.3228239347183544,-20.02925729710146,-76.86512857222905,-76.86512857222905,np.float64(205954.0958867138),-4.585766816695051
0.09322237675430066,-1.3315098243564176,-20.454076474270256,-76.81301323440067,-76.81301323440064,np.float64(206017.8759063937),-4.631854539411861
0.09137645001706837,-1.340195713994481,-20.887477568086926,-76.76089789657232,-76.76089789657229,np.float64(206079.7709416217),-4.678405451442503
0.08956707507821181,-1.3488816036325444,-21.32963394476775,-76.70878255874393,-76.70878255874393,np.float64(206139.83670210754),-4.725424207916973
0.0877935281636301,-1.3575674932706077,-21.780722472758903,-76.65666722091555,-76.65666722091558,np.float64(206198.1272510902),-4.772915510750102
0.08605509983090984,-1.366253382908671,-22.240923593486166,-76.60455188308717,-76.60455188308717,np.float64(206254.69505399856),-4.820884109111748
0.08435109468553854,-1.3749392725467342,-22.710421393533938,-76.55243654525879,-76.55243654525876,np.float64(206309.59102567355),-4.869334799901721
0.0826808311027377,-1.3836251621847975,-23.18940367828229,-76.5003212074304,-76.5003212074304,np.float64(206362.86457619542),-4.9182724282294785
0.08104364095480374,-1.3923110518228607,-23.678062047031627,-76.44820586960202,-76.44820586960199,np.float64(206414.56365535563),-4.967701887898632
0.07943886934384795,-1.4009969414609242,-24.17659196964499,-76.39609053177364,-76.39609053177364,np.float64(206464.7347958152),-5.017628121896339
0.07786587433982875,-1.4096828310989875,-24.685192864738575,-76.34397519394525,-76.34397519394523,np.float64(206513.4231549872),-5.068056122887608
0.07632402672377096,-1.4183687207370508,-25.20406817945186,-76.29185985611687,-76.29185985611687,np.float64(206560.67255568155),-5.11899093371456
0.07481270973606993,-1.427054610375114,-25.73342547082915,-76.23974451828852,-76.23974451828852,np.float64(206606.5255255482),-5.170437647900722
0.07333131882977942,-1.4357405000131773,-26.2734764888452,-76.18762918046014,-76.1876291804601,np.float64(206651.02333535522),-5.222401410160387
0.07187926142878476,-1.4444263896512406,-26.824437261107974,-76.13551384263175,-76.13551384263175,np.float64(206694.20603613512),-5.274887416913082
0.07045595669076452,-1.453112279289304,-27.386528179272645,-76.08339850480337,-76.08339850480334,np.float64(206736.11249523354),-5.327900916803225
0.06906083527484587,-1.4617981689273674,-27.9599740872011,-76.03128316697499,-76.03128316697499,np.float64(206776.78043129246),-5.3814472112249785
0.06769333911386055,-1.4704840585654306,-28.54500437090257,-75.9791678291466,-75.97916782914663,np.float64(206816.24644819944),-5.43553165485241
