# SPECULATIVE QUANTUM-GRAVITY TOY MODELS — NOT ESTABLISHED PHYSICS
# SPECULATIVE MODEL — NOT experimentally established.
# model: Dymnikova (1992) regular black hole
r_geo,log10_r_over_rs,f,log10_K_SI,log10_K_schwarzschild_SI,tau_since_horizon_years,u_r
0.27451002960769344,-0.8624717790319569,-6.2857082958252235,-79.62724150634745,-79.62724150634747,np.float64(197529.60989092002),-2.69920512296217
0.26907436683086033,-0.8711576686700202,-6.432889366444915,-79.57512616851906,-79.57512616851906,np.float64(197842.37109933357),-2.726332585442377
0.26374633738846553,-0.8798435583080836,-6.583043691917696,-79.52301083069068,-79.52301083069065,np.float64(198145.88881710576),-2.753732683453079
0.2585238099976908,-0.8885294479461469,-6.73623133597584,-79.4708954928623,-79.4708954928623,np.float64(198440.4362306706),-2.7814081570269114
0.2534046955779452,-0.8972153375842102,-6.892513575719501,-79.41878015503391,-79.41878015503394,np.float64(198726.2784525829),-2.8093617737342944
0.24838694641520512,-0.9059012272222734,-7.051952926128363,-79.36666481720556,-79.36666481720559,np.float64(199003.67276013727),-2.837596328960193
0.24346855534290113,-0.9145871168603368,-7.2146131650684815,-79.31454947937718,-79.31454947937718,np.float64(199272.86882693513),-2.866114646183659
0.238647554939025,-0.9232730064984,-7.380559358804261,-79.2624341415488,-79.26243414154877,np.float64(199534.10894760798),-2.8949195772601803
0.23392201673913424,-0.9319588961364633,-7.5498578880258425,-79.21031880372041,-79.21031880372041,np.float64(199787.6282558986),-2.9240140027068686
0.22929005046494086,-0.9406447857745267,-7.72257647440226,-79.15820346589203,-79.158203465892,np.float64(200033.65493629756),-2.953400831990514
0.22474980326817492,-0.94933067541259,-7.898784207671005,-79.10608812806365,-79.10608812806365,np.float64(200272.4104294245),-2.9830830038185336
0.2202994589894202,-0.9580165650506532,-8.078551573274854,-79.05397279023526,-79.05397279023524,np.float64(200504.1096313397),-3.0130634864328454
0.21593723743162646,-0.9667024546887166,-8.261950480556983,-79.00185745240688,-79.00185745240688,np.float64(200728.96108696514),-3.043345277906696
0.21166139364800696,-0.9753883443267799,-8.44905429152565,-78.9497421145785,-78.94974211457853,np.float64(200947.16717778862),-3.0739314064444656
0.2074702172440361,-0.9840742339648432,-8.639937850199997,-78.89762677675014,-78.89762677675012,np.float64(201158.9243040214),-3.1048249306844977
0.2033620316932693,-0.9927601236029066,-8.834677512548643,-78.84551143892176,-78.84551143892176,np.float64(201364.42306137105),-3.1360289400049615
0.19933519366670968,-1.00144601324097,-9.033351177033087,-78.79339610109338,-78.79339610109335,np.float64(201563.8484125908),-3.1675465548327915
0.19538809237545476,-1.0101319028790332,-9.236038315768141,-78.741280763265,-78.741280763265,np.float64(201757.37985395835),-3.1993809269557354
0.19151914892635924,-1.0188177925170965,-9.442820006311834,-78.68916542543661,-78.68916542543664,np.float64(201945.19157683468),-3.2315352398375348
